P’s Gedichte-Pod📚|📚https://anchor.fm/s/11304074/podcast/rss
Pecha Kucha Erlangen📚|📚https://tmt-beratung.de/podcasts/feed.xml
Pedrinho mix📚|📚https://anchor.fm/s/30890258/podcast/rss
Pedro📚|📚https://anchor.fm/s/3032780c/podcast/rss
PENG Podcast📚|📚https://pengland.de/podcast/feed.xml
Peng! Puff! Pow! – Der Comic-Podcast📚|📚https://podnews.de/show/peng-puff-pow/feed/mp3/
Penni Jo auf Deutsch📚|📚https://pennijoaufdeutsch.podomatic.com/rss2.xml
Pension Schöller📚|📚https://anchor.fm/s/30fbf9fc/podcast/rss
pepper grinder teeth📚|📚http://www.pepperlevain.com/feed/podcast/
Pergament und Mikrofon📚|📚https://nqsdb9.podcaster.de/pergament-und-mikrofon.rss
Permeabilität📚|📚https://w9fhcn.podcaster.de/permeabilitaet.rss
Personal Buchführung📚|📚http://feeds.feedburner.com/perbufue
Perspektiven - Der Theaterpodcast📚|📚https://www.kulturwoche.at/component/podcastmanager/?format=raw&feedname=9
Perspektivwechsel – der Barberini Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:553785780/sounds.rss
Pest und Cola📚|📚https://euta9t.podcaster.de/pestundcola.rss
PeteCast 2000📚|📚http://petecast.com/feed/mp3/
Peter Schlemihls wundersame Geschichte by Adelbert von Chamisso📚|📚http://www.loyalbooks.com/book/peter-schlemihls-wundersame-geschichte-by-adelbert-von-chamisso/feed
Peter und der Wolf📚|📚https://tmo.podspot.de/rss+usm
Peterchens Mondfahrt by  Gerdt von Bassewitz (1878 - 1923)📚|📚https://librivox.org/rss/616
Peterchens Mondfahrt by Gerdt von Bassewitz📚|📚https://www.loyalbooks.com/book/peterchens-mondfahrt-by-gerdt-von-bassewitz/feed
Petra Peuleke📚|📚https://anchor.fm/s/31451470/podcast/rss
Petra-schreibt📚|📚https://1efgw1m.podcaster.de/petra3.rss
Petras Welt📚|📚https://1efgw1m.podcaster.de/petra2.rss
Petticoat Podcast📚|📚https://www.spreaker.com/show/3615692/episodes/feed
PFLASTER📚|📚http://feeds.feedburner.com/pflaster-aac
PhanLiTa - Der phantastische Literatur-Talk📚|📚https://anchor.fm/s/bd6aac8/podcast/rss
Phantasie in der Malerei, Die by Max Liebermann (1847 - 1935)📚|📚https://librivox.org/rss/4092
Phantasticpastas📚|📚https://anchor.fm/s/d09c13c/podcast/rss
Phil Humor📚|📚https://anchor.fm/s/30dc06b0/podcast/rss
Philipp Lindner Media & Nework - Podcast📚|📚https://philipplindner-media-network.de/Portcast/feed.xml
Philipp Probst📚|📚https://anchor.fm/s/10fe4bc8/podcast/rss
Philosophie des Ausdrucks (WS 2014)📚|📚https://audiothek.philo.at/podcasts/feed/philosophie-des-ausdrucks-ws-2014.xml
Philosophie📚|📚http://philosophie.gedankenwege-podcast.de/?feed=mp3
Philosophien der Körpers📚|📚https://audiothek.philo.at/podcasts/feed/philosophien-der-koerpers-aus-interkultureller-per.xml
Photographie und Gedanken - Podcast📚|📚https://pug-podcast.de/feed/mp3/
Photography MEET N SPEAK - Der Fotografie Podcast📚|📚https://anchor.fm/s/ba6a2b0/podcast/rss
PHOTOMOVIN'📚|📚https://www.ivoox.com/feed_fg_f1220360_filtro_1.xml
phototeilchen📚|📚https://phototeilchen.podspot.de/rss
Pi‘s Podcast📚|📚https://anchor.fm/s/14261dbc/podcast/rss
Pia liest📚|📚https://pialiestgeschichten.podigee.io/feed/mp3
Picco B.📚|📚https://piccob.podigee.io/feed/mp3
picdrop Podcast - Gespräche zur Profifotografie📚|📚https://picdrop.podigee.io/feed/mp3
picPond Photography by Silvio Oeser📚|📚https://anchor.fm/s/10a77b2c/podcast/rss
Pics Artist📚|📚https://podcast3e0089.podigee.io/feed/mp3
Pietrochelli und Schokolalla📚|📚https://anchor.fm/s/13f20694/podcast/rss
PIF📚|📚https://pif.indietonne.de/feed/mp3/
Pillows and Blankets📚|📚https://www.the-gaffer.de/blog/category/pillows-blankets/feed/
PISOVI Hörbuchecke📚|📚https://anchor.fm/s/25c30c10/podcast/rss
Pixel Taverne - Gaming, Technik & News📚|📚https://9znzmu.podcaster.de/Pixel-Taverne.rss
Pixel Taverne📚|📚http://rss.pixel-taverne.de/feed.xml
pixeljargon📚|📚https://anchor.fm/s/1822d2e8/podcast/rss
Planet Grumpy (MP3 Audio Feed)📚|📚https://grumpy-du.de/feed/mp3
Planet JV📚|📚https://feeds.buzzsprout.com/1312093.rss
Planlos ist der Plan📚|📚https://anchor.fm/s/10ded130/podcast/rss
plauschen&Töchter📚|📚https://plauschenundtoechter.podigee.io/feed/mp3
Plempodding📚|📚https://yel8t7.podcaster.de/plempodding.rss
Plus Size Kaffeeklatsch📚|📚https://plussizekaffeeklatsch.podigee.io/feed/mp3
Podcast - Neunzehn72📚|📚http://feeds.feedburner.com/Neunzehn72-Podcast
PODCAST - WORT TON WELLE📚|📚https://christianmuellerpress.podigee.io/feed/mp3
Podcast – Fehlfarben – Ein Münchner Kulturpodcast📚|📚http://feeds.feedburner.com/fehlfarben
Podcast – Hannover Tag und Nacht📚|📚https://feeds.feedburner.com/HannoverTagUndNachtPodcast000
podcast – Lohmann & Meinhardt Filmkritik📚|📚http://feeds.feedburner.com/lmpodcast
Podcast – My Favourite Freaks – Booking Agency for Electronic Music📚|📚https://myfavouritefreaks.com/category/podcast/feed/
Podcast – RilaCorello📚|📚http://feeds.feedburner.com/DerBuchPodcast
Podcast – Vom Schreiben leben📚|📚https://www.vomschreibenleben.de/category/podcast/feed/
Podcast – Whiskey.Schnack📚|📚https://feeds.feedburner.com/WhiskeySchnack
Podcast Analphabeten📚|📚http://podcastanalphabeten.de/feed/podcast/
Podcast Archive - ordnungsliebe📚|📚https://ordnungsliebe.net/category/podcast/feed/
Podcast Away📚|📚https://anchor.fm/s/13841544/podcast/rss
Podcast de adrenalina📚|📚https://anchor.fm/s/3bfcb65c/podcast/rss
Podcast der BücherFrauen📚|📚https://buecherfrau.podspot.de/rss
Podcast der Löwenklasse📚|📚https://anchor.fm/s/1765b6cc/podcast/rss
Podcast des Berliner Spielplan Audiodeskription📚|📚https://spielplanaudiodeskription.podigee.io/feed/mp3
Podcast eines Fotoproduzenten📚|📚https://anchor.fm/s/e011f68/podcast/rss
Podcast ist echt nicht einfach!📚|📚https://letscast.fm/podcasts/podcast-ist-echt-nicht-einfach-33948f9c/feed
Podcast Life und Trixi📚|📚https://anchor.fm/s/1d48cda4/podcast/rss
Podcast Mihra📚|📚https://anchor.fm/s/227147d4/podcast/rss
Podcast über das Buch Löcher📚|📚https://anchor.fm/s/15d66ba8/podcast/rss
Podcast von Internet-fuer-Architekten.de📚|📚https://internet-fuer-architekten.podspot.de/rss
Podcast-Beispiel📚|📚https://www.podcasts.com/rss_feed/53d6d7d5b13bc25fd05c8f2f43df2d02
Podcast-JAM📚|📚https://jam.podcaster.de/Podcast-JAM.rss
Podcast: Spinner📚|📚https://anchor.fm/s/21f3b6e8/podcast/rss
podcasts Archives - Rainbow Recaps📚|📚https://feeds.feedburner.com/RainbowRecaps
Podcasts📚|📚https://feeds.soundcloud.com/users/soundcloud:users:9041865/sounds.rss
PODCUTS📚|📚https://podcastb23908.podigee.io/feed/mp3
PODDRAX - DIE DUNKLE ZUKUNFT AUF DIE OHREN📚|📚https://maddrax-fanseite.de/feed/podcast/
podnincast📚|📚https://anchor.fm/s/e5c4370/podcast/rss
Podpedia📚|📚https://podpedia.podspot.de/rss
Podyssey - SF📚|📚https://podyssey-sf.podspot.de/rss+usm
PoeSea. Ein Meer voll Poesie.📚|📚https://feeds.buzzsprout.com/1275608.rss
Poesie am Nachmittag📚|📚https://anchor.fm/s/1c35d894/podcast/rss
Poesie im Bademantel📚|📚https://anchor.fm/s/367aa3d8/podcast/rss
PoesieKatharina📚|📚https://s1saoz.podcaster.de/PoesieKatharinaJaeschke.rss
poetic mind📚|📚https://anchor.fm/s/71a2488/podcast/rss
Poetinsimu📚|📚https://anchor.fm/s/292f6c68/podcast/rss
POETRY SLAM TV - AUDIO📚|📚https://slamaufsohr.podigee.io/feed/mp3
POLE DANCE PODCAST📚|📚https://poledancr.libsyn.com/rss
Pole Poppenspäler by Theodor Storm📚|📚http://www.loyalbooks.com/book/pole-poppenspaeler-by-theodor-storm/feed
polpod📚|📚https://www.lukashammerstein.de/feed/podcast/
Pony Pixel Pod📚|📚https://ps1eeg.podcaster.de/ponypixelpod.rss
POP KUNST SEELE📚|📚https://cobainserben.de/feed/mp3/
Popcorn am Controller📚|📚https://anchor.fm/s/203bbe7c/podcast/rss
Popfeuilleton📚|📚http://feeds.feedburner.com/detektorfm_the-other-side-das-pop-feuilleton
Potter Sisters📚|📚https://anchor.fm/s/3a76ddf8/podcast/rss
Pottercast📚|📚https://anchor.fm/s/1d54d428/podcast/rss
POW! - Ein Comic-Podcast📚|📚https://pow.podcaster.de/pow-ein-comicpodcast.rss
Pra que te quero📚|📚https://anchor.fm/s/370a27b0/podcast/rss
Pragmatism by JAMES, William📚|📚https://www.ivoox.com/feed_fg_f1182677_filtro_1.xml
PREP&PODCAST - Köstliche Anekdoten📚|📚https://anchor.fm/s/c5c8d64/podcast/rss
Preußische Jugend zur Zeit Napoleons by Karl Immermann (1796 - 1840) and  Wilhelm von Bode (1845 - 1929)📚|📚https://librivox.org/rss/4898
Preußische Jugend zur Zeit Napoleons by Karl Immermann📚|📚http://www.loyalbooks.com/book/Preussische-Jugend-zur-Zeit-Napoleons/feed
Priester und Detektiv (Pater Brown Geschichten) by G. K. Chesterton (1874 - 1936)📚|📚https://librivox.org/rss/4377
Priester und Detektiv (Pater Brown Geschichten) by G. K. Chesterton📚|📚http://www.loyalbooks.com/book/Priester-und-Detektiv-Pater-Brown-Geschichten/feed
Prima Podcast📚|📚https://anchor.fm/s/2f9cf890/podcast/rss
Princess Eliza - Englische Impulse für Hessen-Homburg📚|📚https://eliza2020.de/feed/podcast/princess_eliza
Prinz Rupi📚|📚https://anchor.fm/s/25f06da4/podcast/rss
Prinzenbuch📚|📚https://anchor.fm/s/358f5270/podcast/rss
Prinzessin Brambilla by E. T. A. Hoffmann📚|📚http://www.loyalbooks.com/book/prinzessin-brambilla-by-eta-hoffmann/feed
Production Therapy📚|📚https://www.levyond.com/feed/podcast
Prof. Dr. Stephan Porombka: Making Of - Bonusfeature zur Vorlesung📚|📚https://feeds.feedburner.com/ProfDrStephanPorombkaMakingOf-BonusfeatureZurVorlesung
profil-Podcast XL📚|📚https://profilxl.podigee.io/feed/mp3
Programas periodísticos sobre Héctor Abad📚|📚https://www.ivoox.com/feed_fg_f1266867_filtro_1.xml
Prolibris' Krimihäppchen📚|📚https://prolibris.podspot.de/rss
Promigeflüster📚|📚https://promigefluester.podspot.de/rss
Promotion Neustifter Sonntags-Matinee📚|📚https://anchor.fm/s/30a28214/podcast/rss
propella jella📚|📚https://anchor.fm/s/1d9452d8/podcast/rss
Prosanova 2020📚|📚https://anchor.fm/s/1bac676c/podcast/rss
Psyche by Hugo von Blomberg (1820 - 1871)📚|📚https://librivox.org/rss/13361
Pu, der Wer!?📚|📚https://juliliest.net/category/podcast/feed/
Pubkameraden📚|📚http://www.pubkameraden.de/feed/aac/
Pubkameraden📚|📚http://www.pubkameraden.de/feed/mp3/
Puck & Powder📚|📚https://feeds.buzzsprout.com/1146101.rss
Pünktchen und Anton📚|📚https://anchor.fm/s/2daf8520/podcast/rss
pups📚|📚https://anchor.fm/s/2909779c/podcast/rss
pura poesia - poetry & ""predigt"" slam📚|📚https://anchor.fm/s/15607b78/podcast/rss
pureGLAM.tv (DE) - Fashionblog, Reiseblog, Lifestyleblog📚|📚http://feeds.feedburner.com/pureglamtvdepod
Pw trash📚|📚https://anchor.fm/s/1f6172e4/podcast/rss
pygmalionanna📚|📚https://feeds.soundcloud.com/users/soundcloud:users:138136131/sounds.rss
